"Konto";"Kontobezeichnung";"Datum";"Belegnummer";"Text";"Gegenkonto";"Soll";"Haben";"Steuer";"Steuerkonto"
"1201";"Bank";"12.03.2026";"";"1048833110184/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048833110184 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"112,89";"0,00";""
"1201";"Bank";"12.03.2026";"";"1048833251662/. Uber BV, Ihr Einkauf bei Uber BV EREF: 1048833251662 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"4,99";"0,00";""
"1201";"Bank";"12.03.2026";"";"1048833929737/PP.6140.PP/. , Ihr Einkauf bei EREF: 1048833929737 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"130,00";"0,00";""
"1201";"Bank";"12.03.2026";"";"1048834801109/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048834801109 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"126,19";"0,00";""
"1201";"Bank";"12.03.2026";"";"1048835398455/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048835398455 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"86,19";"0,00";""
"1201";"Bank";"12.03.2026";"";"1048837341883/PP.6140.PP/. , Ihr Einkauf bei EREF: 1048837341883 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"120,00";"0,00";""
"1201";"Bank";"12.03.2026";"";"Geldtransit";"1360";"300,00";"0,00";"0,00";""
"1201";"Bank";"12.03.2026";"";". MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel/ABBUCHUNG VOM PAYPAL-KONTO EREF: YYW1048854715550";"1360";"85,34";"0,00";"0,00";""
"1201";"Bank";"12.03.2026";"";". MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel/ABBUCHUNG VOM PAYPAL-KONTO EREF: YYW1048856426643";"1360";"132,89";"0,00";"0,00";""
"1201";"Bank";"12.03.2026";"";"Privatentnahmen Julian Witeczek";"1800";"0,00";"300,00";"0,00";""
"1201";"Bank";"12.03.2026";"";"XA4GSPOFECWZA2MPJNAV4P2GXB, Ebay, G03-1416516865872840177 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"116,19";"0,00";""
"1201";"Bank";"12.03.2026";"";"XA51M1PYPHDTROPMBPTSJXIXXB, Ebay, G17-764281272267130916 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"227,38";"0,00";""
"1201";"Bank";"13.03.2026";"1157918239";"Zahlungsausg.: /OBO/DHL PAKET GMBH/KD 6371266059/ZB 2801313035/RG 1157918239/10.03.2026/VFTN 6201 EREF: APM200022122693 MREF: EED0001000000000353376 CRED: DE65ZZZ00000210259 IBAN: DE84700202700015179032 BIC: HYVEDEMMXXX ABWA: DHL PAKET GMBH";"70002";"0,00";"135,95";"0,00";""
"1201";"Bank";"13.03.2026";"1157918240";"Zahlungsausg.: /OBO/DHL PAKET GMBH/KD 6371266059/ZB 2801313034/RG 1157918240/10.03.2026/VFTN 0701 EREF: APM200022122692 MREF: EED0001000000000353376 CRED: DE65ZZZ00000210259 IBAN: DE84700202700015179032 BIC: HYVEDEMMXXX ABWA: DHL PAKET GMBH";"70002";"0,00";"53,81";"0,00";""
"1201";"Bank";"13.03.2026";"1157918241";"Zahlungsausg.: /OBO/DHL PAKET GMBH/KD 6371266059/ZB 2801313033/RG 1157918241/10.03.2026/VFTN 0101 EREF: APM200022122691 MREF: EED0001000000000353376 CRED: DE65ZZZ00000210259 IBAN: DE84700202700015179032 BIC: HYVEDEMMXXX ABWA: DHL PAKET GMBH";"70002";"0,00";"1.098,68";"0,00";""
"1201";"Bank";"13.03.2026";"1502968903";"Zahlungsausg.: Deutsche Post AG KD6371266059 2802115565 VFTN5301 REF1502968903 DAT09.03.2026 DHL PAKET INTERNATIONAL (53REF1502968904 DAT09.03. EREF: APM200021978511 MREF: POSTAG1000000000891959 CRED: DE65ZZZ00000210259 IBAN: DE84700202700015179032 BIC: H";"70003";"0,00";"66,52";"0,00";""
"1201";"Bank";"13.03.2026";"";"Privatentnahmen Julian Witeczek";"1800";"0,00";"50,00";"0,00";""
"1201";"Bank";"13.03.2026";"";"REF-74593E9506A4B1DDA9 EREF: D-005809E8YJYK MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"630";"0,00";"2.454,80";"0,00";""
"1201";"Bank";"13.03.2026";"";"REF-74593E9506A4B1DDA9 EREF: D-005809E8YJYK MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"2120";"0,00";"478,68";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_1";"Währungsumr.: SLR4PBC0BI9WPIP1 EREF: SLR4PBC0BI9WPIP1";"2150";"0,00";"0,10";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_1";"Zahlungsausg.: SLR22ZZ6GQ6M267G EREF: SLR22ZZ6GQ6M267G";"70012";"0,00";"273,51";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_1";"Zahlungsausg.: SLR27N07O1G0OTR9 EREF: SLR27N07O1G0OTR9";"70002";"0,00";"50,05";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_1";"Zahlungsausg.: SLR4PBC0BI9WPIP1 EREF: SLR4PBC0BI9WPIP1";"70002";"0,00";"32,04";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_1";"Zahlungsausg.: SLR7BE3C44PFS8RN EREF: SLR7BE3C44PFS8RN";"70002";"0,00";"42,49";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_2";"Währungsumr.: SLR4PBC0BI9WPIP1 EREF: SLR4PBC0BI9WPIP1";"2660";"1,00";"0,00";"0,00";"1770"
"1201";"Bank";"13.03.2026";"110312032026_2";"Zahlungseing.: SLR22ZZ6GQ6M267G EREF: SLR22ZZ6GQ6M267G";"10074";"2.829,11";"0,00";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_2";"Zahlungseing.: SLR27N07O1G0OTR9 EREF: SLR27N07O1G0OTR9";"10001";"588,95";"0,00";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_2";"Zahlungseing.: SLR4PBC0BI9WPIP1 EREF: SLR4PBC0BI9WPIP1";"10001";"309,04";"0,00";"0,00";""
"1201";"Bank";"13.03.2026";"110312032026_2";"Zahlungseing.: SLR7BE3C44PFS8RN EREF: SLR7BE3C44PFS8RN";"10001";"499,99";"0,00";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849130774/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048849130774 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"102,53";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849177898/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048849177898 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"122,09";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849633091/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849633091 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"117,00";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849673664/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849673664 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"138,88";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849690597/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849690597 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"111,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849706346/. EBAY, Ihr Einkauf bei EBAY EREF: 1048849706346 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"114,90";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849722459/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849722459 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"106,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849748914/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849748914 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"116,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048849905474/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048849905474 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"106,69";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850184479/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048850184479 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"167,69";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850423867/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048850423867 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"132,89";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850461700/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048850461700 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"259,00";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850621380/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048850621380 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"68,85";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850984424/PP.6140.PP/. BITRO, inh. Tim Augener, Ihr Einkauf bei BITRO, inh. Tim Augener EREF: 1048850984424 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"19,90";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048850999720/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048850999720 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"106,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851054134/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048851054134 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"101,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851283322/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048851283322 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"100,14";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851344067/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048851344067 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"68,64";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851466585/. Uber, Ihr Einkauf bei Uber EREF: 1048851466585 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"15,07";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851520289/. eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048851520289 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"96,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048851619026/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048851619026 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"143,55";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048854683638 . eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel- EREF: 1048854683638 PAYPAL MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: DE88500700100175526303 BIC: DEUTDEFFXXX";"1360";"0,00";"106,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"1048857086204/PP.6140.PP/. MGP Vinted - Kleiderkreisel, Ihr Einkauf bei MGP Vinted - Kleiderkreisel EREF: 1048857086204 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"13,69";"0,00";""
"1201";"Bank";"13.03.2026";"";"Gelateria La Romana/Barmer Str./Dsseldorf/DE 12.03.2026 um 15:12:36 Uhr 50712459/210038/ECTL/ 37062600/4041097014/0/1227 REF 422254/260046";"4650";"0,00";"21,00";"7,00";"1571"
"1201";"Bank";"13.03.2026";"";"Gelateria La Romana/Barmer Str./Dsseldorf/DE 12.03.2026 um 15:12:36 Uhr 50712459/210038/ECTL/ 37062600/4041097014/0/1227 REF 422254/260046";"4654";"0,00";"9,00";"7,00";"1571"
"1201";"Bank";"13.03.2026";"";"Picnic 10-03-2026 EREF: SDD6E03205D3D6040BB95A501A112A67462 MREF: 1EA69B7BE7D0AB6439AAE11A45DCE24F9B4 CRED: NL39ZZZ302317620000 IBAN: NL31DEUT0265258553 BIC: DEUTNL2AXXX";"4650";"0,00";"144,71";"7,00";"1571"
"1201";"Bank";"13.03.2026";"";"XA3ZX8GSDPTN2JLPXQ0SXTXCXB, Vinted, pay2pumgzabpakirl6gbevc7r7f4q SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"154,65";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA42MBV5LII2DWVHIWPVDURJXB, Ebay, G11-8411797784224286059 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"56,18";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA44BFTDNC6XU8D03HHPXZZQXB, Ebay, G23-4745072592804659982 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"105,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA46BHTLQOFZ64PDJELZCNYFXB, Ebay, G03-2565677697288651830 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"85,48";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA46CZNKKNSRCQFD51CRGBGEXB, Vinted, payoz2ftfib4vtitguc7cysjrm5ke SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"123,89";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4GZNLTTXNLYBA4C5CQFUFJXB, Vinted, paywy6at5abmjoihfnlsy4wkpi6ia SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"102,39";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4HTORRGRREKAZDXYAKTNX0XB, Ebay, G06-7278606627790604785 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"106,69";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4IOKEZXDUCGLIIKYROTC4GXB, Ebay, G23-4835022683597390682 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"120,49";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4J1GPXWPYDVMA0NU7WIXWSXB, Ebay, G11-5899543265565034973 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"105,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4NMPFF1FGHZEFMMEQFKFBQXB, Vinted, payywcw2tibr6hy7psnylhxmlbtcq SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"179,75";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4PUTD4QHD0OX5FPL4AVUYHXB, Ebay, G20-1568339734778104707 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"112,79";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4RTJH0YD3XFRVQQP0VQEFPXB, Vinted, payhmnqlwabm2ly3olrjar3nrj5fi SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"123,39";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4T6MXFNLGTTQQX2VSOWZWPXB, Ebay, G09-7149803539040717307 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"117,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4WABKHGOCJVNORLT4EWYHJXB, Vinted, payz3ki63aba3hyzfjqdntsfqc2rq SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"144,39";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4WAQESXF0JEAKO91YVJQLOXB, Ebay, G05-7049268912320233753 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"107,57";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4WJXWX1OCMB2OI36ONFM4XXB, Ebay, G14-6296237548140904735 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"121,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4XGV2JDCC1XLGWNIUPG1NSXB, Vinted, payesf4giiby2ai5l56kx2fwr4j5a SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"117,90";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4Y3JZWFEAVFHKQFPGRYZXBXB, Vinted, paytgvph3abnt5ihpbjd7qo6dhfzy SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"104,15";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4YUNWDWW7CR7M5JPEYKS4UXB, Ebay, G01-3762083373701222185 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"109,49";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA4ZOJ1CMNPMULWQ26XCEEFKXB, Ebay, G12-4435383743112823437 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"111,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA55EPQM184KKFPZ5GXWLDVTXB, Vinted, payki3aicybklqilpvvqdgpalmpum SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"112,65";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5A8JMEKN3XPY9TWGJPMR0WXB, Ebay, G19-7933685985584761306 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"41,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5BMPKHG8D7BK3JG0MXBEBRXB, Ebay, G01-7784212724288340329 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"105,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5ELJAJUXH5LWCODCH8ONCBXB, Ebay, G12-6860762519066004160 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"106,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5FKKIQDIF5K2IGSLDCBMH3XB, Ebay, G02-4355893847955292354 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"111,19";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5KWOCSDNYICT2PQUZO2YE9XB, Vinted, payfutxgoqbs7wyphud25oa563ugi SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"111,29";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5NTIWL3NZZOYRYSSJXZUE1XB, Ebay, G01-1286568625361732585 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"112,49";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5OH9MNT1RW6HXFSJQCWCZXXB, Ebay, G13-469378870394570270 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"99,99";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5OTFHCLOQOUKOB9BUBKUVOXB, Ebay, G21-6718193678962215016 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"129,49";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5QCRMABV6PQA0C6MR05MX1XB, Vinted, payc72ym5qbfi4yzlrr2sbsfm5pzi SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"112,05";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5QKFT2NU6NLZYDAPTT6KXWXB, Vinted, pay3y3mlbqbyzdy5e3xoaohpmjh5u SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"86,40";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5TIMMS4ILNRYM9XOBQPGJVXB, Vinted, payxuddbyiblgsilhxzj327luxceu SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"144,15";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5WGMG4DF3D54X75LU6CA8JXB, Ebay, G14-4235852009468216952 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"120,00";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5XC7DTZPUELGAZJWFD0HNDXB, Ebay, G00-1796265493586856749 SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"107,44";"0,00";""
"1201";"Bank";"13.03.2026";"";"XA5YHIL98UDWV6Y02KTKC2QEXB, Vinted, paymmfl5aabpzrihox6dnqdolkmyq SecureGo plus IBAN: DE61100103009269215519 BIC: KLRNDEBEXXX";"3200";"0,00";"55,14";"0,00";""
"1201";"Bank";"16.03.2026";"1526329833";"Zahlungsausg.: KD6371266059 2802203732 REF1526329833 RE5700466619 DAT10.03.2026 WARENPOST INT RC WD 1-499(6 Warenpost InREF1526329833 RE5700466 EREF: APM200022612196 MREF: POSTAG1000000000891959 CRED: DE65ZZZ00000210259 IBAN: DE28512108001095024395 BIC: S";"70003";"0,00";"42,22";"0,00";""
"1201";"Bank";"16.03.2026";"1526331621";"Zahlungsausg.: Deutsche Post AG KD6371266059 2802203731 VFTN5302 REF1526331621 DAT10.03.2026 DHL RETOURE INT. A (5302VT EREF: APM200022612197 MREF: POSTAG1000000000891959 CRED: DE65ZZZ00000210259 IBAN: DE28512108001095024395 BIC: SOGEDEFFXXX";"70003";"0,00";"100,95";"0,00";""
"1201";"Bank";"16.03.2026";"1526331622";"Zahlungsausg.: Deutsche Post AG KD6371266059 2802203730 VFTN5301 REF1526331622 DAT10.03.2026 DHL PAKET INTERNATIONAL (53REF1526331622 DAT10.03. EREF: APM200022612198 MREF: POSTAG1000000000891959 CRED: DE65ZZZ00000210259 IBAN: DE28512108001095024395 BIC: S";"70003";"0,00";"3.099,98";"0,00";""
"1201";"Bank";"16.03.2026";"20090/26229";"Zahlungsausg.: 20090/26229 SecureGo plus IBAN: DE22302201900043372815 BIC: HYVEDEMM414";"70002";"0,00";"360,96";"0,00";""
"1201";"Bank";"16.03.2026";"";"Rückzahlung Leihe SecureGo plus IBAN: DE25300400000496409400 BIC: COBADEFFXXX";"1360";"0,00";"3.100,00";"0,00";""
"1201";"Bank";"16.03.2026";"110315032026_1";"Zahlungsausg.: DASQWH2O5R4G6CC0000000026728869092 EREF: DASQWH2O5R4G6CC";"70017";"0,00";"46,28";"0,00";""
"1201";"Bank";"16.03.2026";"110315032026_2";"Zahlungseing.: DASQWH2O5R4G6CC0000000026728869092 EREF: DASQWH2O5R4G6CC";"10086";"488,00";"0,00";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_1";"Zahlungsausg.: SLR1BJR8INOML102 EREF: SLR1BJR8INOML102";"70014";"0,00";"493,54";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_1";"Zahlungsausg.: SLR2ER1LGE20GJPL EREF: SLR2ER1LGE20GJPL";"70012";"0,00";"44,96";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_1";"Zahlungsausg.: SLR2KY4YIZVK2520 EREF: SLR2KY4YIZVK2520";"70002";"0,00";"150,31";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_1";"Zahlungsausg.: SLR36DE8O0I666RQ EREF: SLR36DE8O0I666RQ";"70002";"0,00";"178,34";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_2";"Zahlungseing.: SLR1BJR8INOML102 EREF: SLR1BJR8INOML102";"10001";"5.047,40";"0,00";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_2";"Zahlungseing.: SLR2ER1LGE20GJPL EREF: SLR2ER1LGE20GJPL";"10074";"272,50";"0,00";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_2";"Zahlungseing.: SLR2KY4YIZVK2520 EREF: SLR2KY4YIZVK2520";"10001";"1.492,80";"0,00";"0,00";""
"1201";"Bank";"16.03.2026";"120315032026_2";"Zahlungseing.: SLR36DE8O0I666RQ EREF: SLR36DE8O0I666RQ";"10001";"1.217,30";"0,00";"0,00";""
"1201";"Bank";"16.03.2026";"";"1048892276492/PP.6140.PP/. , Ihr Einkauf bei EREF: 1048892276492 MREF: 56722256S5MRA CRED: LU96ZZZ0000000000000000058 IBAN: LU89751000135104200E BIC: PPLXLUL2";"1360";"0,00";"130,00";"0,00";""
